"id","nume","descriere","pret","dimensiuni","culoare","nr_bucati","modulara","imagine","data_adaugare","categorie","tip_produs","material","nota_review"
1,"Dulap cu oglinda","""Nu poți ieși în lume orișicum!""
Dulapul cu oglindă te ajută să te pregătești pentru orice ieșire din casă!",1200.0,180,"alb",3,False,"Dulap11.jpeg","2022-03-29 01:22:26.221864","living","dulap","MDF laminat                                                                                                                                                                                                                                                                                                 ",9
2,"Dulap încorporat","Dacă v-ați pus vreodată problema spațiului de depozitare, aflați că venim cu o soluție practică și cu un design inovator. Dulapul încorporat poate fi plasat sub scara interioară, completând perfect acel spațiu lipsit anterior de utilitate.",1700.0,180,"alb",2,True,"Dulap333.jpeg","2022-03-29 01:22:26.221864","hol",NULL,"Lemn stratificat                                                                                                                                                                                                                                                                                            ",10
3,"Măsuță de cafea","Indispensabilă oricărui living, măsuța de cafea adaugă un aer modern locuinței dumneavoastră!",569.0,60,"alb",1,False,"Masuta_cafea.jpg","2022-03-29 01:22:26.221864","bucatarie",NULL,"MDF laminat                                                                                                                                                                                                                                                                                                 ",8
4,"Corp de bucătărie- model 1","Cine nu-și dorește o bucătărie care să iasă în evidență? Vă prezentăm un corp de bucătărie contrastand, care îmbină nuanțe glaciare cu cele calde!",2469.0,180,"gri",2,True,"Bucatarie2.jpeg","2022-03-29 01:22:26.221864","bucatarie",NULL,"MDF laminat                                                                                                                                                                                                                                                                                                 ",10
5,"Corp de bucătărie- model 2","La fel ca dumneavoastră, vrem să valorificăm tot spațiul pe care îl avem la dispoziție, iar acest corp de bucătărie este soluția pentru spațiile mici!",2199.0,210,"alb",1,False,"Bucatarie8.jpeg","2022-03-29 01:22:26.221864","bucatarie",NULL,"MDF laminat                                                                                                                                                                                                                                                                                                 ",9
6,"Corp de bucătărie- model 3","Ești o fire conservatoare și vrei să rămâi în tiparele societății? Acest corp de bucătărie este practic și elegant, cu siguranță te va cuceri din prima.",3099.0,210,"maro",1,False,"Bucatarie6.jpeg","2022-03-29 01:22:26.221864","living",NULL,"Lemn stratificat                                                                                                                                                                                                                                                                                            ",9
7,"Corp de bucătărie- model 4","Dacă și ție îți place să ai totul pus la punct până în cel mai mic detaliu, aruncă o privire la acest corp de bucătprie foarte bine compartimentat, cu un aspect inovativ și o îmbinare cromatică modernă!",2889.0,180,"maro ",4,False,"Bucatarie13.jpeg","2022-03-29 01:22:26.221864","bucatarie",NULL,"Lemn masiv                                                                                                                                                                                                                                                                                                  ",10
8,"Foișor","Timpul petrecut în aer liber devine acum mai plăcut cu noul nostru model de foișor de grădină care se pliază spațiului și necesităților dumneavoastră!",1200.0,210,"maro",1,False,"Foisor.jpg","2022-03-29 01:22:26.221864","gradina",NULL,"Lemn stratificat                                                                                                                                                                                                                                                                                            ",7
9,"Dressing","Hainele nu mai sunt demult doar o necesitate, așa că spațiul lor de depozitare trebuie să se adapteze volumului și diversității acestora. De asemenea, toți membrii familiei trebuie să beneficieze de spațiul lor pentru haine, așa că vă prezentăm o variantă de dressing spațios și bine compartimentat.",1400.0,210,"alb",2,False,"Dulap222.jpeg","2022-03-29 01:22:26.221864","living",NULL,"MDF laminat                                                                                                                                                                                                                                                                                                 ",10
10,"Mobilă living","Living-ul este cartea dumneavoastră de vizită, dar și locul unde familia se reunește să petreacă timp de calitate împreună, așa că trebuie să corespundă tuturor gusturilor și să fie de o calitate superioară.",2600.0,180,"maro",3,True,"Living1.jpeg","2022-03-29 01:22:26.221864","dormitor",NULL,"Lemn masiv                                                                                                                                                                                                                                                                                                  ",10
